B03-B10-B10	appropriated
B03-B10-BJa	appropriately
B03-B10-BQu	appropriateness
B03-B10-BKi	appropriation
B03-B10-BAc	appropriations
B03-B10-R02	approval
B03-B10-R03	approve
B03-B10-R04	approved
B03-B10-R05	approves
B03-B10-R06	approving
B03-B10-R07	approximate
B03-B10-R08	approximated
B03-B10-R09	approximately
B03-B10-R10	approximates
B03-B10-RJa	approximation
B03-B10-RQu	approximations
B03-B10-RKi	apron
B03-B10-RAc	aptitude
B03-BJa-B02	aptly
B03-BJa-B03	aquaculture
B03-BJa-B04	aquarium
B03-BJa-B05	aquatic
B03-BJa-B06	aqueous
B03-BJa-B07	aquifer
B03-BJa-B08	arbiter
B03-BJa-B09	arbitrarily
B03-BJa-B10	arbitrary
B03-BJa-BJa	arbitration
B03-BJa-BQu	arbitrator
B03-BJa-BKi	arbitrators
B03-BJa-BAc	arc
B03-BJa-R02	arcade
B03-BJa-R03	archaeological
B03-BJa-R04	archaeologist
B03-BJa-R05	archaeologists
B03-BJa-R06	archaic
B03-BJa-R07	archbishop
B03-BJa-R08	archer
B03-BJa-R09	archetypal
B03-BJa-R10	archetype
B03-BJa-RJa	archipelago
B03-BJa-RQu	architect
B03-BJa-RKi	architects
B03-BJa-RAc	architectural
B03-BQu-B02	architecture
B03-BQu-B03	architectures
B03-BQu-B04	archive
B03-BQu-B05	archives
B03-BQu-B06	arcs
B03-BQu-B07	ardent
B03-BQu-B08	arduous
B03-BQu-B09	area
B03-BQu-B10	areas
B03-BQu-BJa	arena
B03-BQu-BQu	arenas
B03-BQu-BKi	argon
B03-BQu-BAc	arguably
B03-BQu-R02	argue
B03-BQu-R03	argued
B03-BQu-R04	argues
B03-BQu-R05	arguing
B03-BQu-R06	argument
B03-BQu-R07	argumentation
B03-BQu-R08	arguments
B03-BQu-R09	arid
B03-BQu-R10	arise
B03-BQu-RJa	arisen
B03-BQu-RQu	arises
B03-BQu-RKi	arising
B03-BQu-RAc	aristocracy
B03-BKi-B02	aristocratic
B03-BKi-B03	aristocrats
B03-BKi-B04	arithmetic
B03-BKi-B05	armament
B03-BKi-B06	armaments
B03-BKi-B07	armature
B03-BKi-B08	armchair
B03-BKi-B09	armies
B03-BKi-B10	armistice
B03-BKi-BJa	armor
B03-BKi-BQu	armored
B03-BKi-BKi	army
B03-BKi-BAc	aroma
B03-BKi-R02	aromatic
B03-BKi-R03	arose
B03-BKi-R04	arousal
B03-BKi-R05	arouse
B03-BKi-R06	arousing
B03-BKi-R07	arrangements
B03-BKi-R08	arranging
B03-BKi-R09	array
B03-BKi-R10	arrayed
B03-BKi-RJa	arrays
B03-BKi-RQu	arrears
B03-BKi-RKi	arrest
B03-BKi-RAc	arrested
B03-BAc-B02	arresting
B03-BAc-B03	arrests
B03-BAc-B04	arrival
B03-BAc-B05	arrivals
B03-BAc-B06	arrive
B03-BAc-B07	arrived
B03-BAc-B08	arrives
B03-BAc-B09	arriving
B03-BAc-B10	arrogance
B03-BAc-BJa	arrogant
B03-BAc-BQu	arrows
B03-BAc-BKi	arsenal
B03-BAc-BAc	arsenic
B03-BAc-R02	arteries
B03-BAc-R03	artery
B03-BAc-R04	arthritis
B03-BAc-R05	articulated
B03-BAc-R06	articulates
B03-BAc-R07	articulating
B03-BAc-R08	articulation
B03-BAc-R09	artifact
B03-BAc-R10	artifacts
B03-BAc-RJa	artifice
